city,state_id,lat,lng,population,city.state
Harrisburg,PA,40.2752,-76.8843,441580,"Harrisburg, PA"
Pittsburgh,PA,40.4396,-79.9763,1715297,"Pittsburgh, PA"
Allentown,PA,40.5961,-75.4755,682899,"Allentown, PA"
Philadelphia,PA,40.0077,-75.1339,5637884,"Philadelphia, PA"
Providence,RI,41.823,-71.4187,1206642,"Providence, RI"
Reno,NV,39.5497,-119.8483,433271,"Reno, NV"
Las Vegas,NV,36.2333,-115.2654,2073045,"Las Vegas, NV"
Richmond,VA,37.5295,-77.4756,1059907,"Richmond, VA"
Virginia Beach,VA,36.7335,-76.0435,1480383,"Virginia Beach, VA"
Denver,CO,39.7621,-104.8759,2787266,"Denver, CO"
Colorado Springs,CO,38.8674,-104.7606,623946,"Colorado Springs, CO"
Concord,CA,37.9722,-122.0016,654770,"Concord, CA"
Sacramento,CA,38.5667,-121.4683,1854698,"Sacramento, CA"
San Diego,CA,32.8312,-117.1225,3210314,"San Diego, CA"
Mission Viejo,CA,33.6095,-117.655,600474,"Mission Viejo, CA"
Long Beach,CA,33.798,-118.1675,469450,"Long Beach, CA"
Murrieta,CA,33.572,-117.1909,483681,"Murrieta, CA"
Bakersfield,CA,35.353,-119.0359,574362,"Bakersfield, CA"
San Francisco,CA,37.7562,-122.443,3603761,"San Francisco, CA"
Fresno,CA,36.7831,-119.7941,698021,"Fresno, CA"
Los Angeles,CA,34.1139,-118.4068,12815475,"Los Angeles, CA"
Riverside,CA,33.9381,-117.3948,2084749,"Riverside, CA"
San Jose,CA,37.3021,-121.8489,1821899,"San Jose, CA"
Birmingham,AL,33.5277,-86.7987,744189,"Birmingham, AL"
Little Rock,AR,34.7255,-92.358,442699,"Little Rock, AR"
Chicago,IL,41.8373,-87.6862,8675982,"Chicago, IL"
Atlanta,GA,33.7627,-84.4225,5228750,"Atlanta, GA"
Indianapolis,IN,39.7771,-86.1458,1564699,"Indianapolis, IN"
Des Moines,IA,41.5725,-93.6105,481222,"Des Moines, IA"
Boston,MA,42.3188,-71.0846,4637537,"Boston, MA"
Springfield,MA,42.1155,-72.5395,628076,"Springfield, MA"
Worcester,MA,42.2705,-71.8079,498997,"Worcester, MA"
Mesa,AZ,33.4017,-111.7181,496401,"Mesa, AZ"
Tucson,AZ,32.1545,-110.8782,868391,"Tucson, AZ"
Phoenix,AZ,33.5722,-112.0891,4081849,"Phoenix, AZ"
Bridgeport,CT,41.1918,-73.1953,938406,"Bridgeport, CT"
Hartford,CT,41.7661,-72.6834,914751,"Hartford, CT"
New Haven,CT,41.3112,-72.9246,568144,"New Haven, CT"
Baltimore,MD,39.3051,-76.6144,2170504,"Baltimore, MD"
Oklahoma City,OK,35.4676,-97.5137,955998,"Oklahoma City, OK"
Tulsa,OK,36.1284,-95.9043,672054,"Tulsa, OK"
Akron,OH,41.0798,-81.5219,565920,"Akron, OH"
Columbus,OH,39.986,-82.9851,1528314,"Columbus, OH"
Cincinnati,OH,39.1412,-84.506,1648254,"Cincinnati, OH"
Dayton,OH,39.7797,-84.1998,718169,"Dayton, OH"
Toledo,OH,41.6639,-83.5822,488672,"Toledo, OH"
Cleveland,OH,41.4767,-81.6805,1730363,"Cleveland, OH"
Provo,UT,40.2457,-111.6457,503695,"Provo, UT"
Salt Lake City,UT,40.7774,-111.93,1098400,"Salt Lake City, UT"
Ogden,UT,41.228,-111.9677,573632,"Ogden, UT"
Kansas City,MO,39.1239,-94.5541,1615621,"Kansas City, MO"
St. Louis,MO,38.6358,-90.2451,2078283,"St. Louis, MO"
Minneapolis,MN,44.9635,-93.2678,2926757,"Minneapolis, MN"
Detroit,MI,42.3834,-83.1024,3522206,"Detroit, MI"
Grand Rapids,MI,42.9615,-85.6557,602694,"Grand Rapids, MI"
Wichita,KS,37.6897,-97.3441,483057,"Wichita, KS"
Charleston,SC,32.8151,-79.963,616085,"Charleston, SC"
Greenville,SC,34.8362,-82.3649,467894,"Greenville, SC"
Columbia,SC,34.0376,-80.9037,566166,"Columbia, SC"
Louisville,KY,38.1663,-85.6485,1011696,"Louisville, KY"
Portland,OR,45.5371,-122.65,2052796,"Portland, OR"
